file,r_idx,r_idx_2,r_major,r_minor,mean,max,min
R5_r2.glb,5,2,6.666666666666666,1.2666666666666666,0.2864649535184597,0.325714285714286,0.2576638176638174
R5_r3.glb,5,3,6.666666666666666,1.4,0.3156176958718234,0.3511111111111115,0.2895726495726492
R5_r4.glb,5,4,6.666666666666666,1.5333333333333332,0.3445796833146808,0.3748148148148152,0.32239316239316196
R5_r5.glb,5,5,6.666666666666666,1.6666666666666663,0.37335091584703195,0.39682539682539714,0.35612535612535556
R5_r6.glb,5,6,6.666666666666666,1.8,0.4019313934688767,0.4171428571428577,0.39076923076923065
R5_r7.glb,5,7,6.666666666666666,1.9333333333333331,0.43032111618021507,0.4357671957671961,0.4263247863247858
R5_r8.glb,5,8,6.666666666666666,2.0666666666666664,0.4585200839810471,0.4627920227920229,0.4526984126984122
R5_r9.glb,5,9,6.666666666666666,2.2,0.48652829687137283,0.5001709401709408,0.4679365079365075
R5_r10.glb,5,10,6.666666666666666,2.333333333333333,0.5143457548511922,0.5384615384615394,0.4814814814814808
R5_r11.glb,5,11,6.666666666666666,2.466666666666667,0.5419724579205053,0.5776638176638181,0.4933333333333326
R5_r12.glb,5,12,6.666666666666666,2.6,0.5694084060793119,0.6177777777777784,0.5034920634920628
R5_r13.glb,5,13,6.666666666666666,2.7333333333333334,0.5966535993276122,0.6588034188034193,0.5119576719576714
R5_r14.glb,5,14,6.666666666666666,2.8666666666666667,0.6237080376654062,0.7007407407407416,0.5187301587301583
R5_r15.glb,5,15,6.666666666666666,3,0.6505717210926939,0.7435897435897442,0.5238095238095234
R5_r16.glb,5,16,6.666666666666666,3.1333333333333333,0.6772446496094752,0.7873504273504283,0.5271957671957667
R5_r17.glb,5,17,6.666666666666666,3.2666666666666666,0.7037268232157501,0.832022792022793,0.5288888888888881
R5_r18.glb,5,18,6.666666666666666,3.4,0.7300182419115187,0.8776068376068384,0.5288888888888882
R5_r19.glb,5,19,6.666666666666666,3.533333333333333,0.756118905696781,0.9241025641025647,0.5271957671957664
R5_r20.glb,5,20,6.666666666666666,3.6666666666666665,0.7820288145715368,0.9715099715099724,0.523809523809523
R5_r21.glb,5,21,6.666666666666666,3.8,0.8077479685357865,1.0198290598290602,0.5187301587301579
R5_r22.glb,5,22,6.666666666666666,3.933333333333333,0.8332763675895297,1.0690598290598303,0.5119576719576715
R5_r23.glb,5,23,6.666666666666666,4.066666666666666,0.8586140117327665,1.1192022792022802,0.5034920634920629
R5_r24.glb,5,24,6.666666666666666,4.2,0.8837609009654972,1.1702564102564117,0.4933333333333326
R5_r25.glb,5,25,6.666666666666666,4.333333333333334,0.9087170352877214,1.222222222222224,0.4814814814814808
R5_r26.glb,5,26,6.666666666666666,4.466666666666667,0.9334824146994393,1.2750997150997163,0.4679365079365074
R5_r27.glb,5,27,6.666666666666666,4.6,0.9580570392006507,1.32888888888889,0.45269841269841227
R5_r28.glb,5,28,6.666666666666666,4.733333333333333,0.9824409087913558,1.3835897435897446,0.4357671957671952
R5_r29.glb,5,29,6.666666666666666,4.866666666666667,1.0066340234715547,1.4392022792022805,0.4171428571428565
R5_r30.glb,5,30,6.666666666666666,5,1.0306363832412473,1.495726495726498,0.3968253968253963
R6_r0.glb,6,0,7,1,0.23923481337712335,0.28571428571428603,0.20512820512820495
R6_r1.glb,6,1,7,1.1333333333333333,0.27032208012442116,0.31661375661375696,0.23635327635327605
R6_r2.glb,6,2,7,1.2666666666666666,0.30121859196121265,0.34582010582010614,0.26849002849002823
R6_r3.glb,6,3,7,1.4,0.3319243488874977,0.3733333333333337,0.3015384615384612
R6_r4.glb,6,4,7,1.5333333333333332,0.3624393509032765,0.3991534391534397,0.3354985754985752
R6_r5.glb,6,5,7,1.6666666666666663,0.392763598008549,0.42328042328042376,0.3703703703703698
R6_r6.glb,6,6,7,1.8,0.4228970902033151,0.44571428571428606,0.40615384615384575
R6_r7.glb,6,7,7,1.9333333333333331,0.45283982748757484,0.46645502645502707,0.4428490028490024
R6_r8.glb,6,8,7,2.0666666666666664,0.4825918098613282,0.485502645502646,0.4804558404558399
R6_r9.glb,6,9,7,2.2,0.5121530373245754,0.5189743589743595,0.5028571428571423
R6_r10.glb,6,10,7,2.333333333333333,0.541523509877316,0.5584045584045587,0.518518518518518
R6_r11.glb,6,11,7,2.466666666666667,0.5707032275195505,0.5987464387464395,0.5324867724867719
R6_r12.glb,6,12,7,2.6,0.5996921902512785,0.6400000000000005,0.5447619047619042
R6_r13.glb,6,13,7,2.7333333333333334,0.6284903980725002,0.6821652421652429,0.5553439153439147
R6_r14.glb,6,14,7,2.8666666666666667,0.6570978509832155,0.7252421652421661,0.5642328042328036
R6_r15.glb,6,15,7,3,0.6855145489834246,0.7692307692307702,0.5714285714285711
R6_r16.glb,6,16,7,3.1333333333333333,0.7137404920731272,0.8141310541310551,0.5769312169312162
R6_r17.glb,6,17,7,3.2666666666666666,0.7417756802523235,0.8599430199430205,0.5807407407407401
